DATE_ID,DATE,DAY_NUMBER,DAY_NAME,MONTH_NUMBER,MONTH_NAME,YEAR
20180219,2018-02-19,19,Monday,2,February,2018
20180220,2018-02-20,20,Tuesday,2,February,2018
20180221,2018-02-21,21,Wednesday,2,February,2018
20180222,2018-02-22,22,Thursday,2,February,2018
20180223,2018-02-23,23,Friday,2,February,2018
20180224,2018-02-24,24,Saturday,2,February,2018
20180225,2018-02-25,25,Sunday,2,February,2018
20180226,2018-02-26,26,Monday,2,February,2018
20180227,2018-02-27,27,Tuesday,2,February,2018
20180228,2018-02-28,28,Wednesday,2,February,2018
20180301,2018-03-01,1,Thursday,3,March,2018
20180302,2018-03-02,2,Friday,3,March,2018
20180303,2018-03-03,3,Saturday,3,March,2018
20180304,2018-03-04,4,Sunday,3,March,2018
20180305,2018-03-05,5,Monday,3,March,2018
20180306,2018-03-06,6,Tuesday,3,March,2018
20180307,2018-03-07,7,Wednesday,3,March,2018
20180308,2018-03-08,8,Thursday,3,March,2018
20180309,2018-03-09,9,Friday,3,March,2018
20180310,2018-03-10,10,Saturday,3,March,2018
20180311,2018-03-11,11,Sunday,3,March,2018
20180312,2018-03-12,12,Monday,3,March,2018
20180313,2018-03-13,13,Tuesday,3,March,2018
20180314,2018-03-14,14,Wednesday,3,March,2018
20180315,2018-03-15,15,Thursday,3,March,2018
20180316,2018-03-16,16,Friday,3,March,2018
20180317,2018-03-17,17,Saturday,3,March,2018
20180318,2018-03-18,18,Sunday,3,March,2018
20180319,2018-03-19,19,Monday,3,March,2018
20180320,2018-03-20,20,Tuesday,3,March,2018
20180321,2018-03-21,21,Wednesday,3,March,2018
20180322,2018-03-22,22,Thursday,3,March,2018
20180323,2018-03-23,23,Friday,3,March,2018
20180324,2018-03-24,24,Saturday,3,March,2018
20180325,2018-03-25,25,Sunday,3,March,2018
20180326,2018-03-26,26,Monday,3,March,2018
20180327,2018-03-27,27,Tuesday,3,March,2018
20180328,2018-03-28,28,Wednesday,3,March,2018
20180329,2018-03-29,29,Thursday,3,March,2018
20180330,2018-03-30,30,Friday,3,March,2018
20180331,2018-03-31,31,Saturday,3,March,2018
20180401,2018-04-01,1,Sunday,4,April,2018
20180402,2018-04-02,2,Monday,4,April,2018
20180403,2018-04-03,3,Tuesday,4,April,2018
20180404,2018-04-04,4,Wednesday,4,April,2018
20180405,2018-04-05,5,Thursday,4,April,2018
20180406,2018-04-06,6,Friday,4,April,2018
20180407,2018-04-07,7,Saturday,4,April,2018
20180408,2018-04-08,8,Sunday,4,April,2018
20180409,2018-04-09,9,Monday,4,April,2018
20180410,2018-04-10,10,Tuesday,4,April,2018
20180411,2018-04-11,11,Wednesday,4,April,2018
20180412,2018-04-12,12,Thursday,4,April,2018
20180413,2018-04-13,13,Friday,4,April,2018
20180414,2018-04-14,14,Saturday,4,April,2018
20180415,2018-04-15,15,Sunday,4,April,2018
20180416,2018-04-16,16,Monday,4,April,2018
20180417,2018-04-17,17,Tuesday,4,April,2018
20180418,2018-04-18,18,Wednesday,4,April,2018
20180419,2018-04-19,19,Thursday,4,April,2018
20180420,2018-04-20,20,Friday,4,April,2018
20180421,2018-04-21,21,Saturday,4,April,2018
20180422,2018-04-22,22,Sunday,4,April,2018
20180423,2018-04-23,23,Monday,4,April,2018
20180424,2018-04-24,24,Tuesday,4,April,2018
20180425,2018-04-25,25,Wednesday,4,April,2018
20180426,2018-04-26,26,Thursday,4,April,2018
20180427,2018-04-27,27,Friday,4,April,2018
20180428,2018-04-28,28,Saturday,4,April,2018
20180429,2018-04-29,29,Sunday,4,April,2018
20180430,2018-04-30,30,Monday,4,April,2018
20180501,2018-05-01,1,Tuesday,5,May,2018
20180502,2018-05-02,2,Wednesday,5,May,2018
20180503,2018-05-03,3,Thursday,5,May,2018
20180504,2018-05-04,4,Friday,5,May,2018
20180505,2018-05-05,5,Saturday,5,May,2018
20180506,2018-05-06,6,Sunday,5,May,2018
20180507,2018-05-07,7,Monday,5,May,2018
20180508,2018-05-08,8,Tuesday,5,May,2018
20180509,2018-05-09,9,Wednesday,5,May,2018
20180510,2018-05-10,10,Thursday,5,May,2018
20180511,2018-05-11,11,Friday,5,May,2018
20180512,2018-05-12,12,Saturday,5,May,2018
20180513,2018-05-13,13,Sunday,5,May,2018
20180514,2018-05-14,14,Monday,5,May,2018
20180515,2018-05-15,15,Tuesday,5,May,2018
20180516,2018-05-16,16,Wednesday,5,May,2018
20180517,2018-05-17,17,Thursday,5,May,2018
20180518,2018-05-18,18,Friday,5,May,2018
20180519,2018-05-19,19,Saturday,5,May,2018
20180520,2018-05-20,20,Sunday,5,May,2018
20180521,2018-05-21,21,Monday,5,May,2018
20180522,2018-05-22,22,Tuesday,5,May,2018
20180523,2018-05-23,23,Wednesday,5,May,2018
20180524,2018-05-24,24,Thursday,5,May,2018
20180525,2018-05-25,25,Friday,5,May,2018
20180526,2018-05-26,26,Saturday,5,May,2018
20180527,2018-05-27,27,Sunday,5,May,2018
20180528,2018-05-28,28,Monday,5,May,2018
20180529,2018-05-29,29,Tuesday,5,May,2018
20180530,2018-05-30,30,Wednesday,5,May,2018
20180531,2018-05-31,31,Thursday,5,May,2018
20180601,2018-06-01,1,Friday,6,June,2018
20180602,2018-06-02,2,Saturday,6,June,2018
20180603,2018-06-03,3,Sunday,6,June,2018
20180604,2018-06-04,4,Monday,6,June,2018
20180605,2018-06-05,5,Tuesday,6,June,2018
20180606,2018-06-06,6,Wednesday,6,June,2018
20180607,2018-06-07,7,Thursday,6,June,2018
20180608,2018-06-08,8,Friday,6,June,2018
20180609,2018-06-09,9,Saturday,6,June,2018
20180610,2018-06-10,10,Sunday,6,June,2018
20180611,2018-06-11,11,Monday,6,June,2018
20180612,2018-06-12,12,Tuesday,6,June,2018
20180613,2018-06-13,13,Wednesday,6,June,2018
20180614,2018-06-14,14,Thursday,6,June,2018
20180615,2018-06-15,15,Friday,6,June,2018
20180616,2018-06-16,16,Saturday,6,June,2018
20180617,2018-06-17,17,Sunday,6,June,2018
20180618,2018-06-18,18,Monday,6,June,2018
20180619,2018-06-19,19,Tuesday,6,June,2018
20180620,2018-06-20,20,Wednesday,6,June,2018
20180621,2018-06-21,21,Thursday,6,June,2018
20180622,2018-06-22,22,Friday,6,June,2018
20180623,2018-06-23,23,Saturday,6,June,2018
20180624,2018-06-24,24,Sunday,6,June,2018
20180625,2018-06-25,25,Monday,6,June,2018
20180626,2018-06-26,26,Tuesday,6,June,2018
20180627,2018-06-27,27,Wednesday,6,June,2018
20180628,2018-06-28,28,Thursday,6,June,2018
20180629,2018-06-29,29,Friday,6,June,2018
20180630,2018-06-30,30,Saturday,6,June,2018
20180701,2018-07-01,1,Sunday,7,July,2018
20180702,2018-07-02,2,Monday,7,July,2018
20180703,2018-07-03,3,Tuesday,7,July,2018
20180704,2018-07-04,4,Wednesday,7,July,2018
20180705,2018-07-05,5,Thursday,7,July,2018
20180706,2018-07-06,6,Friday,7,July,2018
20180707,2018-07-07,7,Saturday,7,July,2018
20180708,2018-07-08,8,Sunday,7,July,2018
20180709,2018-07-09,9,Monday,7,July,2018
20180710,2018-07-10,10,Tuesday,7,July,2018
20180711,2018-07-11,11,Wednesday,7,July,2018
20180712,2018-07-12,12,Thursday,7,July,2018
20180713,2018-07-13,13,Friday,7,July,2018
20180714,2018-07-14,14,Saturday,7,July,2018
20180715,2018-07-15,15,Sunday,7,July,2018
20180716,2018-07-16,16,Monday,7,July,2018
20180717,2018-07-17,17,Tuesday,7,July,2018
20180718,2018-07-18,18,Wednesday,7,July,2018
20180719,2018-07-19,19,Thursday,7,July,2018
20180720,2018-07-20,20,Friday,7,July,2018
20180721,2018-07-21,21,Saturday,7,July,2018
20180722,2018-07-22,22,Sunday,7,July,2018
20180723,2018-07-23,23,Monday,7,July,2018
20180724,2018-07-24,24,Tuesday,7,July,2018
20180725,2018-07-25,25,Wednesday,7,July,2018
20180726,2018-07-26,26,Thursday,7,July,2018
20180727,2018-07-27,27,Friday,7,July,2018
20180728,2018-07-28,28,Saturday,7,July,2018
20180729,2018-07-29,29,Sunday,7,July,2018
20180730,2018-07-30,30,Monday,7,July,2018
20180731,2018-07-31,31,Tuesday,7,July,2018
20180801,2018-08-01,1,Wednesday,8,August,2018
20180802,2018-08-02,2,Thursday,8,August,2018
20180803,2018-08-03,3,Friday,8,August,2018
20180804,2018-08-04,4,Saturday,8,August,2018
20180805,2018-08-05,5,Sunday,8,August,2018
20180806,2018-08-06,6,Monday,8,August,2018
20180807,2018-08-07,7,Tuesday,8,August,2018
20180808,2018-08-08,8,Wednesday,8,August,2018
20180809,2018-08-09,9,Thursday,8,August,2018
20180810,2018-08-10,10,Friday,8,August,2018
20180811,2018-08-11,11,Saturday,8,August,2018
20180812,2018-08-12,12,Sunday,8,August,2018
20180813,2018-08-13,13,Monday,8,August,2018
20180814,2018-08-14,14,Tuesday,8,August,2018
20180815,2018-08-15,15,Wednesday,8,August,2018
20180816,2018-08-16,16,Thursday,8,August,2018
20180817,2018-08-17,17,Friday,8,August,2018
20180818,2018-08-18,18,Saturday,8,August,2018
20180819,2018-08-19,19,Sunday,8,August,2018
20180820,2018-08-20,20,Monday,8,August,2018
20180821,2018-08-21,21,Tuesday,8,August,2018
20180822,2018-08-22,22,Wednesday,8,August,2018
20180823,2018-08-23,23,Thursday,8,August,2018
20180824,2018-08-24,24,Friday,8,August,2018
20180825,2018-08-25,25,Saturday,8,August,2018
20180826,2018-08-26,26,Sunday,8,August,2018
20180827,2018-08-27,27,Monday,8,August,2018
20180828,2018-08-28,28,Tuesday,8,August,2018
20180829,2018-08-29,29,Wednesday,8,August,2018
20180830,2018-08-30,30,Thursday,8,August,2018
20180831,2018-08-31,31,Friday,8,August,2018
20180901,2018-09-01,1,Saturday,9,September,2018
20180902,2018-09-02,2,Sunday,9,September,2018
20180903,2018-09-03,3,Monday,9,September,2018
20180904,2018-09-04,4,Tuesday,9,September,2018
20180905,2018-09-05,5,Wednesday,9,September,2018
20180906,2018-09-06,6,Thursday,9,September,2018
20180907,2018-09-07,7,Friday,9,September,2018
20180908,2018-09-08,8,Saturday,9,September,2018
20180909,2018-09-09,9,Sunday,9,September,2018
20180910,2018-09-10,10,Monday,9,September,2018
20180911,2018-09-11,11,Tuesday,9,September,2018
20180912,2018-09-12,12,Wednesday,9,September,2018
20180913,2018-09-13,13,Thursday,9,September,2018
20180914,2018-09-14,14,Friday,9,September,2018
20180915,2018-09-15,15,Saturday,9,September,2018
20180916,2018-09-16,16,Sunday,9,September,2018
20180917,2018-09-17,17,Monday,9,September,2018
20180918,2018-09-18,18,Tuesday,9,September,2018
20180919,2018-09-19,19,Wednesday,9,September,2018
20180920,2018-09-20,20,Thursday,9,September,2018
20180921,2018-09-21,21,Friday,9,September,2018
20180922,2018-09-22,22,Saturday,9,September,2018
20180923,2018-09-23,23,Sunday,9,September,2018
20180924,2018-09-24,24,Monday,9,September,2018
20180925,2018-09-25,25,Tuesday,9,September,2018
20180926,2018-09-26,26,Wednesday,9,September,2018
20180927,2018-09-27,27,Thursday,9,September,2018
20180928,2018-09-28,28,Friday,9,September,2018
20180929,2018-09-29,29,Saturday,9,September,2018
20180930,2018-09-30,30,Sunday,9,September,2018
20181001,2018-10-01,1,Monday,10,October,2018
20181002,2018-10-02,2,Tuesday,10,October,2018
20181003,2018-10-03,3,Wednesday,10,October,2018
20181004,2018-10-04,4,Thursday,10,October,2018
20181005,2018-10-05,5,Friday,10,October,2018
20181006,2018-10-06,6,Saturday,10,October,2018
20181007,2018-10-07,7,Sunday,10,October,2018
20181008,2018-10-08,8,Monday,10,October,2018
20181009,2018-10-09,9,Tuesday,10,October,2018
20181010,2018-10-10,10,Wednesday,10,October,2018
20181011,2018-10-11,11,Thursday,10,October,2018
20181012,2018-10-12,12,Friday,10,October,2018
20181013,2018-10-13,13,Saturday,10,October,2018
20181014,2018-10-14,14,Sunday,10,October,2018
20181015,2018-10-15,15,Monday,10,October,2018
20181016,2018-10-16,16,Tuesday,10,October,2018
20181017,2018-10-17,17,Wednesday,10,October,2018
20181018,2018-10-18,18,Thursday,10,October,2018
20181019,2018-10-19,19,Friday,10,October,2018
20181020,2018-10-20,20,Saturday,10,October,2018
20181021,2018-10-21,21,Sunday,10,October,2018
20181022,2018-10-22,22,Monday,10,October,2018
20181023,2018-10-23,23,Tuesday,10,October,2018
20181024,2018-10-24,24,Wednesday,10,October,2018
20181025,2018-10-25,25,Thursday,10,October,2018
20181026,2018-10-26,26,Friday,10,October,2018
20181027,2018-10-27,27,Saturday,10,October,2018
20181028,2018-10-28,28,Sunday,10,October,2018
20181029,2018-10-29,29,Monday,10,October,2018
20181030,2018-10-30,30,Tuesday,10,October,2018
20181031,2018-10-31,31,Wednesday,10,October,2018
20181101,2018-11-01,1,Thursday,11,November,2018
20181102,2018-11-02,2,Friday,11,November,2018
20181103,2018-11-03,3,Saturday,11,November,2018
20181104,2018-11-04,4,Sunday,11,November,2018
20181105,2018-11-05,5,Monday,11,November,2018
20181106,2018-11-06,6,Tuesday,11,November,2018
20181107,2018-11-07,7,Wednesday,11,November,2018
20181108,2018-11-08,8,Thursday,11,November,2018
20181109,2018-11-09,9,Friday,11,November,2018
20181110,2018-11-10,10,Saturday,11,November,2018
20181111,2018-11-11,11,Sunday,11,November,2018
20181112,2018-11-12,12,Monday,11,November,2018
20181113,2018-11-13,13,Tuesday,11,November,2018
20181114,2018-11-14,14,Wednesday,11,November,2018
20181115,2018-11-15,15,Thursday,11,November,2018
20181116,2018-11-16,16,Friday,11,November,2018
20181117,2018-11-17,17,Saturday,11,November,2018
20181118,2018-11-18,18,Sunday,11,November,2018
20181119,2018-11-19,19,Monday,11,November,2018
20181120,2018-11-20,20,Tuesday,11,November,2018
20181121,2018-11-21,21,Wednesday,11,November,2018
20181122,2018-11-22,22,Thursday,11,November,2018
20181123,2018-11-23,23,Friday,11,November,2018
20181124,2018-11-24,24,Saturday,11,November,2018
20181125,2018-11-25,25,Sunday,11,November,2018
20181126,2018-11-26,26,Monday,11,November,2018
20181127,2018-11-27,27,Tuesday,11,November,2018
20181128,2018-11-28,28,Wednesday,11,November,2018
20181129,2018-11-29,29,Thursday,11,November,2018
20181130,2018-11-30,30,Friday,11,November,2018
20181201,2018-12-01,1,Saturday,12,December,2018
20181202,2018-12-02,2,Sunday,12,December,2018
20181203,2018-12-03,3,Monday,12,December,2018
20181204,2018-12-04,4,Tuesday,12,December,2018
20181205,2018-12-05,5,Wednesday,12,December,2018
20181206,2018-12-06,6,Thursday,12,December,2018
20181207,2018-12-07,7,Friday,12,December,2018
20181208,2018-12-08,8,Saturday,12,December,2018
20181209,2018-12-09,9,Sunday,12,December,2018
20181210,2018-12-10,10,Monday,12,December,2018
20181211,2018-12-11,11,Tuesday,12,December,2018
20181212,2018-12-12,12,Wednesday,12,December,2018
20181213,2018-12-13,13,Thursday,12,December,2018
20181214,2018-12-14,14,Friday,12,December,2018
20181215,2018-12-15,15,Saturday,12,December,2018
20181216,2018-12-16,16,Sunday,12,December,2018
20181217,2018-12-17,17,Monday,12,December,2018
20181218,2018-12-18,18,Tuesday,12,December,2018
20181219,2018-12-19,19,Wednesday,12,December,2018
20181220,2018-12-20,20,Thursday,12,December,2018
20181221,2018-12-21,21,Friday,12,December,2018
20181222,2018-12-22,22,Saturday,12,December,2018
20181223,2018-12-23,23,Sunday,12,December,2018
20181224,2018-12-24,24,Monday,12,December,2018
20181225,2018-12-25,25,Tuesday,12,December,2018
20181226,2018-12-26,26,Wednesday,12,December,2018
20181227,2018-12-27,27,Thursday,12,December,2018
20181228,2018-12-28,28,Friday,12,December,2018
20181229,2018-12-29,29,Saturday,12,December,2018
20181230,2018-12-30,30,Sunday,12,December,2018
20181231,2018-12-31,31,Monday,12,December,2018
